datetime,station,PM2.5,pm25_24h,aqi_class
2013-03-01 00:00:00,Aotizhongxin,4.0,,
2013-03-01 01:00:00,Aotizhongxin,8.0,,
2013-03-01 02:00:00,Aotizhongxin,7.0,,
2013-03-01 03:00:00,Aotizhongxin,6.0,,
2013-03-01 04:00:00,Aotizhongxin,3.0,,
2013-03-01 05:00:00,Aotizhongxin,5.0,,
2013-03-01 06:00:00,Aotizhongxin,3.0,,
2013-03-01 07:00:00,Aotizhongxin,3.0,,
2013-03-01 08:00:00,Aotizhongxin,3.0,,
2013-03-01 09:00:00,Aotizhongxin,3.0,,
2013-03-01 10:00:00,Aotizhongxin,3.0,,
2013-03-01 11:00:00,Aotizhongxin,3.0,,
2013-03-01 12:00:00,Aotizhongxin,3.0,,
2013-03-01 13:00:00,Aotizhongxin,3.0,,
2013-03-01 14:00:00,Aotizhongxin,6.0,,
2013-03-01 15:00:00,Aotizhongxin,8.0,,
2013-03-01 16:00:00,Aotizhongxin,9.0,,
2013-03-01 17:00:00,Aotizhongxin,10.0,5.0,Good
2013-03-01 18:00:00,Aotizhongxin,11.0,5.315789473684211,Good
2013-03-01 19:00:00,Aotizhongxin,8.0,5.45,Good
2013-03-01 20:00:00,Aotizhongxin,11.0,5.714285714285714,Good
2013-03-01 21:00:00,Aotizhongxin,12.0,6.0,Good
2013-03-01 22:00:00,Aotizhongxin,15.0,6.391304347826087,Good
2013-03-01 23:00:00,Aotizhongxin,24.0,7.125,Good
2013-03-02 00:00:00,Aotizhongxin,22.0,7.875,Good
2013-03-02 01:00:00,Aotizhongxin,14.0,8.125,Good
2013-03-02 02:00:00,Aotizhongxin,13.0,8.375,Good
2013-03-02 03:00:00,Aotizhongxin,3.0,8.25,Good
2013-03-02 04:00:00,Aotizhongxin,3.0,8.25,Good
2013-03-02 05:00:00,Aotizhongxin,9.0,8.416666666666666,Good
2013-03-02 06:00:00,Aotizhongxin,4.0,8.458333333333334,Good
2013-03-02 07:00:00,Aotizhongxin,3.0,8.458333333333334,Good
2013-03-02 08:00:00,Aotizhongxin,3.0,8.458333333333334,Good
2013-03-02 09:00:00,Aotizhongxin,10.0,8.75,Good
2013-03-02 10:00:00,Aotizhongxin,11.0,9.083333333333334,Moderate
2013-03-02 11:00:00,Aotizhongxin,18.0,9.708333333333334,Moderate
2013-03-02 12:00:00,Aotizhongxin,26.0,10.666666666666666,Moderate
2013-03-02 13:00:00,Aotizhongxin,25.0,11.583333333333334,Moderate
2013-03-02 14:00:00,Aotizhongxin,26.0,12.416666666666666,Moderate
2013-03-02 15:00:00,Aotizhongxin,37.0,13.625,Moderate
2013-03-02 16:00:00,Aotizhongxin,37.0,14.791666666666666,Moderate
2013-03-02 17:00:00,Aotizhongxin,44.0,16.208333333333332,Moderate
2013-03-02 18:00:00,Aotizhongxin,54.0,18.0,Moderate
2013-03-02 19:00:00,Aotizhongxin,61.0,20.208333333333332,Moderate
2013-03-02 20:00:00,Aotizhongxin,67.0,22.541666666666668,Moderate
2013-03-02 21:00:00,Aotizhongxin,74.0,25.125,Moderate
2013-03-02 22:00:00,Aotizhongxin,81.0,27.875,Moderate
2013-03-02 23:00:00,Aotizhongxin,93.0,30.75,Moderate
2013-03-03 00:00:00,Aotizhongxin,112.0,34.5,Moderate
2013-03-03 01:00:00,Aotizhongxin,109.0,38.458333333333336,Unhealthy_for_Sensitive_Groups
2013-03-03 02:00:00,Aotizhongxin,110.0,42.5,Unhealthy_for_Sensitive_Groups
2013-03-03 03:00:00,Aotizhongxin,105.0,46.75,Unhealthy_for_Sensitive_Groups
2013-03-03 04:00:00,Aotizhongxin,106.0,51.041666666666664,Unhealthy_for_Sensitive_Groups
2013-03-03 05:00:00,Aotizhongxin,101.0,54.875,Unhealthy_for_Sensitive_Groups
2013-03-03 06:00:00,Aotizhongxin,91.0,58.5,Unhealthy
2013-03-03 07:00:00,Aotizhongxin,79.0,61.666666666666664,Unhealthy
2013-03-03 08:00:00,Aotizhongxin,77.0,64.75,Unhealthy
2013-03-03 09:00:00,Aotizhongxin,83.0,67.79166666666667,Unhealthy
2013-03-03 10:00:00,Aotizhongxin,94.0,71.25,Unhealthy
2013-03-03 11:00:00,Aotizhongxin,96.0,74.5,Unhealthy
2013-03-03 12:00:00,Aotizhongxin,91.0,77.20833333333333,Unhealthy
2013-03-03 13:00:00,Aotizhongxin,98.0,80.25,Unhealthy
2013-03-03 14:00:00,Aotizhongxin,72.0,82.16666666666667,Unhealthy
2013-03-03 15:00:00,Aotizhongxin,48.0,82.625,Unhealthy
2013-03-03 16:00:00,Aotizhongxin,28.0,82.25,Unhealthy
2013-03-03 17:00:00,Aotizhongxin,26.0,81.5,Unhealthy
2013-03-03 18:00:00,Aotizhongxin,24.0,80.25,Unhealthy
2013-03-03 19:00:00,Aotizhongxin,19.0,78.5,Unhealthy
2013-03-03 20:00:00,Aotizhongxin,60.0,78.20833333333333,Unhealthy
2013-03-03 21:00:00,Aotizhongxin,117.0,80.0,Unhealthy
2013-03-03 22:00:00,Aotizhongxin,54.0,78.875,Unhealthy
2013-03-03 23:00:00,Aotizhongxin,46.0,76.91666666666667,Unhealthy
2013-03-04 00:00:00,Aotizhongxin,42.0,74.0,Unhealthy
2013-03-04 01:00:00,Aotizhongxin,49.0,71.5,Unhealthy
2013-03-04 02:00:00,Aotizhongxin,34.0,68.33333333333333,Unhealthy
2013-03-04 03:00:00,Aotizhongxin,12.0,64.45833333333333,Unhealthy
2013-03-04 04:00:00,Aotizhongxin,7.0,60.333333333333336,Unhealthy
2013-03-04 05:00:00,Aotizhongxin,10.0,56.541666666666664,Unhealthy
2013-03-04 06:00:00,Aotizhongxin,13.0,53.291666666666664,Unhealthy_for_Sensitive_Groups
2013-03-04 07:00:00,Aotizhongxin,14.0,50.583333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 08:00:00,Aotizhongxin,13.0,47.916666666666664,Unhealthy_for_Sensitive_Groups
2013-03-04 09:00:00,Aotizhongxin,15.0,45.083333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 10:00:00,Aotizhongxin,16.0,41.833333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 11:00:00,Aotizhongxin,18.0,38.583333333333336,Unhealthy_for_Sensitive_Groups
2013-03-04 12:00:00,Aotizhongxin,13.0,35.333333333333336,Moderate
2013-03-04 13:00:00,Aotizhongxin,3.0,31.375,Moderate
2013-03-04 14:00:00,Aotizhongxin,3.0,28.5,Moderate
2013-03-04 15:00:00,Aotizhongxin,10.0,26.916666666666668,Moderate
2013-03-04 16:00:00,Aotizhongxin,14.0,26.333333333333332,Moderate
2013-03-04 17:00:00,Aotizhongxin,20.0,26.083333333333332,Moderate
2013-03-04 18:00:00,Aotizhongxin,25.0,26.125,Moderate
2013-03-04 19:00:00,Aotizhongxin,31.0,26.625,Moderate
2013-03-04 20:00:00,Aotizhongxin,34.0,25.541666666666668,Moderate
2013-03-04 21:00:00,Aotizhongxin,40.0,22.333333333333332,Moderate
2013-03-04 22:00:00,Aotizhongxin,51.0,22.208333333333332,Moderate
2013-03-04 23:00:00,Aotizhongxin,58.0,22.708333333333332,Moderate
2013-03-05 00:00:00,Aotizhongxin,71.0,23.916666666666668,Moderate
2013-03-05 01:00:00,Aotizhongxin,91.0,25.666666666666668,Moderate
2013-03-05 02:00:00,Aotizhongxin,100.0,28.416666666666668,Moderate
2013-03-05 03:00:00,Aotizhongxin,103.0,32.208333333333336,Moderate
